target,fold,cindex,roc_auc,average_precision,row_count,positive_count
risk_death,1,0.4829059829059829,0.7531135531135531,0.3297022107550083,197,15
risk_death,2,0.5782463928967814,0.7644688644688645,0.28505594643638327,197,15
risk_death,3,0.5041666666666667,0.7666666666666666,0.23661771287295488,197,15
risk_death,4,0.4839506172839506,0.8062845303867403,0.4244653407971,197,16
risk_death,5,0.594222833562586,0.8419889502762431,0.43770973338992525,196,15
risk_hepatic_event,1,0.777264325323475,0.842516069788797,0.22426004330766233,251,9
risk_hepatic_event,2,0.7314285714285714,0.7829875518672199,0.14128611371313482,251,10
risk_hepatic_event,3,0.8443743427970557,0.8680497925311202,0.15346125700746163,251,10
risk_hepatic_event,4,0.648397976391231,0.7404333794375288,0.1203302013834939,250,9
risk_hepatic_event,5,0.7373271889400922,0.8128169663439373,0.34231421363434716,250,9
