feature,importance,target
alt_v1,180,risk_hepatic_event
fibs_stiffness_med_BM_1_v3,165,risk_hepatic_event
BMI_v1,163,risk_hepatic_event
fibs_stiffness_med_BM_1_v2,155,risk_hepatic_event
BMI_v2,140,risk_hepatic_event
fibs_stiffness_med_BM_1_v1,130,risk_hepatic_event
triglyc_v2,117,risk_hepatic_event
aixp_aix_result_BM_3_v2,114,risk_hepatic_event
Age_v1,113,risk_hepatic_event
ast_v2,106,risk_hepatic_event
fibs_stiffness_med_BM_1_v4,99,risk_hepatic_event
fibrotest_BM_2_v1,95,risk_hepatic_event
fibrotest_BM_2_v2,94,risk_hepatic_event
ast_v1,93,risk_hepatic_event
bilirubin_v2,87,risk_hepatic_event
ggt_v3,85,risk_hepatic_event
plt_v2,82,risk_hepatic_event
alt_v2,78,risk_hepatic_event
gluc_fast_v2,77,risk_hepatic_event
aixp_aix_result_BM_3_v1,76,risk_hepatic_event
Hypertension,72,risk_hepatic_event
chol_v4,72,risk_hepatic_event
ast_v4,69,risk_hepatic_event
Age_v2,68,risk_hepatic_event
Dyslipidaemia,67,risk_hepatic_event
alt_v3,67,risk_hepatic_event
ggt_v1,65,risk_hepatic_event
ast_v3,64,risk_hepatic_event
chol_v2,64,risk_hepatic_event
ggt_v2,63,risk_hepatic_event
chol_v1,58,risk_hepatic_event
ggt_v6,57,risk_hepatic_event
gluc_fast_v3,57,risk_hepatic_event
bilirubin_v3,55,risk_hepatic_event
gluc_fast_v1,54,risk_hepatic_event
bilirubin_v1,51,risk_hepatic_event
alt_v4,50,risk_hepatic_event
triglyc_v3,47,risk_hepatic_event
triglyc_v1,44,risk_hepatic_event
chol_v3,43,risk_hepatic_event
triglyc_v4,43,risk_hepatic_event
Age_v3,41,risk_hepatic_event
BMI_v3,41,risk_hepatic_event
aixp_aix_result_BM_3_v3,41,risk_hepatic_event
plt_v3,37,risk_hepatic_event
T2DM,34,risk_hepatic_event
aixp_aix_result_BM_3_v4,34,risk_hepatic_event
fibrotest_BM_2_v3,34,risk_hepatic_event
