feature,importance,target
plt_v6,6,risk_hepatic_event
aixp_aix_result_BM_3_v8,6,risk_hepatic_event
fibrotest_BM_2_v5,6,risk_hepatic_event
fibs_stiffness_med_BM_1_v6,6,risk_hepatic_event
Age_first_non_null,6,risk_hepatic_event
ast_v6,5,risk_hepatic_event
ast_v8,5,risk_hepatic_event
bilirubin_v7,5,risk_hepatic_event
triglyc_v5,5,risk_hepatic_event
triglyc_v6,5,risk_hepatic_event
aixp_aix_result_BM_3_v4,5,risk_hepatic_event
BMI_v11,4,risk_hepatic_event
alt_v6,4,risk_hepatic_event
alt_v8,4,risk_hepatic_event
alt_v10,4,risk_hepatic_event
bilirubin_v5,4,risk_hepatic_event
chol_v7,4,risk_hepatic_event
ggt_v7,4,risk_hepatic_event
gluc_fast_v5,4,risk_hepatic_event
aixp_aix_result_BM_3_v9,4,risk_hepatic_event
fibs_stiffness_med_BM_1_v8,4,risk_hepatic_event
fibs_stiffness_med_BM_1_v9,4,risk_hepatic_event
BMI_observed_count,4,risk_hepatic_event
ast_observed_count,4,risk_hepatic_event
Age_v7,3,risk_hepatic_event
BMI_v7,3,risk_hepatic_event
BMI_v10,3,risk_hepatic_event
BMI_v13,3,risk_hepatic_event
ast_v11,3,risk_hepatic_event
chol_v8,3,risk_hepatic_event
plt_v5,3,risk_hepatic_event
aixp_aix_result_BM_3_v7,3,risk_hepatic_event
fibrotest_BM_2_v8,3,risk_hepatic_event
fibrotest_BM_2_v10,3,risk_hepatic_event
gluc_fast_observed_count,3,risk_hepatic_event
BMI_v12,2,risk_hepatic_event
alt_v5,2,risk_hepatic_event
alt_v9,2,risk_hepatic_event
ast_v9,2,risk_hepatic_event
ast_v10,2,risk_hepatic_event
chol_v6,2,risk_hepatic_event
ggt_v13,2,risk_hepatic_event
gluc_fast_v12,2,risk_hepatic_event
aixp_aix_result_BM_3_v6,2,risk_hepatic_event
fibrotest_BM_2_v6,2,risk_hepatic_event
fibrotest_BM_2_v11,2,risk_hepatic_event
fibs_stiffness_med_BM_1_v7,2,risk_hepatic_event
